City,Year,WeekOfYear,Temperature_C,Humidity,Precipitation_mm,DengueCases
Ampara,2019,1,25.28571428571429,82.17857142857143,3.878571428571428,132
Ampara,2020,1,25.955357142857142,83.03571428571429,2.510714285714286,682
Ampara,2019,5,26.2375,85.28571428571429,5.310714285714285,112
Ampara,2020,5,26.29464285714285,79.92857142857143,1.907142857142857,316
Ampara,2021,5,25.721428571428568,83.32142857142857,2.6678571428571423,35
Ampara,2019,9,27.33392857142857,80.75,1.1178571428571429,152
Ampara,2020,9,27.58571428571429,77.67857142857143,0.5285714285714286,78
Ampara,2021,9,26.473214285714285,83.89285714285714,4.903571428571429,68
Ampara,2021,13,28.196428571428573,82.17857142857143,2.6214285714285714,72
Ampara,2019,14,28.9,78.92857142857143,1.7642857142857142,104
Ampara,2020,14,28.730357142857144,78.71428571428571,2.1142857142857148,33
Ampara,2021,17,28.66964285714285,80.67857142857143,4.389285714285714,43
Ampara,2019,18,30.76071428571429,68.32142857142857,0.8035714285714286,78
Ampara,2020,18,29.435714285714283,80.35714285714286,5.610714285714288,17
Ampara,2019,22,31.714285714285715,62.892857142857146,1.892857142857143,72
Ampara,2021,22,29.644642857142856,71.64285714285714,2.0250000000000004,33
Ampara,2020,23,30.43571428571429,70.92857142857143,2.1821428571428574,27
Ampara,2021,26,30.142857142857142,68.25,3.146428571428572,12
Ampara,2019,27,31.458928571428576,62.035714285714285,1.5357142857142858,55
Ampara,2020,27,29.621428571428567,72.57142857142857,2.521428571428572,17
Ampara,2021,30,29.83392857142857,71.17857142857143,2.967857142857143,2
Ampara,2019,31,30.62857142857143,66.5,2.2642857142857142,66
Ampara,2020,31,30.82857142857143,64.64285714285714,0.5999999999999999,25
Ampara,2019,35,29.46785714285714,74.46428571428571,7.628571428571429,53
Ampara,2021,35,29.89285714285714,71.5,3.925,9
Ampara,2020,36,29.65535714285714,72.21428571428571,3.528571428571429,43
Ampara,2021,39,28.349999999999994,78.85714285714286,6.007142857142858,13
Ampara,2019,40,26.478571428571424,88.5,14.614285714285716,83
